target,window_index,unit,true_rul,pred_rul,true_fault,fault_probability,top_sensors,top_sensor_attributions,top_subsystems,suggested_actions
rul,7715,76,10.0,11.68380069732666,1.0,0.9875620603561401,s12;s11;s2,0.17175032;0.15927653;0.15920481,bypass and flow path;bypass and flow path;thermal core,inspect bypass flow and related instrumentation;inspect bypass duct pressure behavior;inspect temperature instrumentation and hot-section condition
rul,7714,76,11.0,12.260746002197266,1.0,0.9859691858291626,s12;s11;s2,0.19319686;0.17511344;0.17168766,bypass and flow path;bypass and flow path;thermal core,inspect bypass flow and related instrumentation;inspect bypass duct pressure behavior;inspect temperature instrumentation and hot-section condition
rul,8251,81,8.0,9.029062271118164,1.0,0.985602617263794,s12;s2;s11,0.31906644;0.29190797;0.24025033,bypass and flow path;thermal core;bypass and flow path,inspect bypass flow and related instrumentation;inspect temperature instrumentation and hot-section condition;inspect bypass duct pressure behavior
rul,7000,68,8.0,10.150555610656738,1.0,0.9834919571876526,s12;s11;s2,0.33694866;0.29391798;0.28878692,bypass and flow path;bypass and flow path;thermal core,inspect bypass flow and related instrumentation;inspect bypass duct pressure behavior;inspect temperature instrumentation and hot-section condition
rul,7713,76,12.0,13.452095031738281,1.0,0.9826834201812744,s12;s11;s9,0.21332952;0.18630186;0.18452029,bypass and flow path;bypass and flow path;high-pressure spool,inspect bypass flow and related instrumentation;inspect bypass duct pressure behavior;inspect high-pressure spool dynamics
rul,6999,68,9.0,10.402432441711426,1.0,0.9819336533546448,s12;s11;s2,0.35983878;0.30754909;0.29879305,bypass and flow path;bypass and flow path;thermal core,inspect bypass flow and related instrumentation;inspect bypass duct pressure behavior;inspect temperature instrumentation and hot-section condition
rul,3281,34,7.0,7.77782678604126,1.0,0.9806489944458008,s12;s11;s2,0.22103699;0.18510799;0.17118111,bypass and flow path;bypass and flow path;thermal core,inspect bypass flow and related instrumentation;inspect bypass duct pressure behavior;inspect temperature instrumentation and hot-section condition
rul,8250,81,9.0,10.862943649291992,1.0,0.9804847836494446,s12;s2;s11,0.33859399;0.29186201;0.26847595,bypass and flow path;thermal core;bypass and flow path,inspect bypass flow and related instrumentation;inspect temperature instrumentation and hot-section condition;inspect bypass duct pressure behavior
rul,3280,34,8.0,7.949533939361572,1.0,0.9803004264831543,s12;s11;s2,0.22928181;0.19420625;0.17534259,bypass and flow path;bypass and flow path;thermal core,inspect bypass flow and related instrumentation;inspect bypass duct pressure behavior;inspect temperature instrumentation and hot-section condition
rul,7712,76,13.0,14.257037162780762,1.0,0.9795849323272705,s12;s9;s11,0.21551499;0.19082704;0.17878525,bypass and flow path;high-pressure spool;bypass and flow path,inspect bypass flow and related instrumentation;inspect high-pressure spool dynamics;inspect bypass duct pressure behavior
rul,2968,31,10.0,12.060859680175781,1.0,0.979486882686615,s12;s2;s11,0.29800209;0.26342741;0.25049388,bypass and flow path;thermal core;bypass and flow path,inspect bypass flow and related instrumentation;inspect temperature instrumentation and hot-section condition;inspect bypass duct pressure behavior
rul,6998,68,10.0,11.176876068115234,1.0,0.9794753789901733,s12;s11;s2,0.36200860;0.33250082;0.28889051,bypass and flow path;bypass and flow path;thermal core,inspect bypass flow and related instrumentation;inspect bypass duct pressure behavior;inspect temperature instrumentation and hot-section condition
rul,2969,31,9.0,11.757065773010254,1.0,0.9791881442070007,s12;s2;s11,0.31098163;0.27432233;0.23959473,bypass and flow path;thermal core;bypass and flow path,inspect bypass flow and related instrumentation;inspect temperature instrumentation and hot-section condition;inspect bypass duct pressure behavior
rul,3279,34,9.0,8.207914352416992,1.0,0.9788458347320557,s12;s11;s13,0.23186763;0.20141694;0.18029371,bypass and flow path;bypass and flow path;spool speed control,inspect bypass flow and related instrumentation;inspect bypass duct pressure behavior;inspect speed-control response and operating point
rul,2970,31,8.0,11.822098731994629,1.0,0.9784648418426514,s12;s2;s11,0.34501895;0.29507989;0.22685434,bypass and flow path;thermal core;bypass and flow path,inspect bypass flow and related instrumentation;inspect temperature instrumentation and hot-section condition;inspect bypass duct pressure behavior
rul,3450,35,11.0,12.217622756958008,1.0,0.97662353515625,s12;s2;s11,0.38032407;0.35239711;0.32356453,bypass and flow path;thermal core;bypass and flow path,inspect bypass flow and related instrumentation;inspect temperature instrumentation and hot-section condition;inspect bypass duct pressure behavior
rul,2967,31,11.0,12.737658500671387,1.0,0.9762412905693054,s12;s2;s11,0.32015064;0.28197205;0.27233848,bypass and flow path;thermal core;bypass and flow path,inspect bypass flow and related instrumentation;inspect temperature instrumentation and hot-section condition;inspect bypass duct pressure behavior
rul,3278,34,10.0,9.886460304260254,1.0,0.9752442240715027,s12;s11;s13,0.24121627;0.21532327;0.18202639,bypass and flow path;bypass and flow path;spool speed control,inspect bypass flow and related instrumentation;inspect bypass duct pressure behavior;inspect speed-control response and operating point
rul,7711,76,14.0,15.42790699005127,1.0,0.9733006954193115,s9;s12;s11,0.20944384;0.20680648;0.20044176,high-pressure spool;bypass and flow path;bypass and flow path,inspect high-pressure spool dynamics;inspect bypass flow and related instrumentation;inspect bypass duct pressure behavior
rul,6997,68,11.0,12.512479782104492,1.0,0.9730139374732971,s12;s11;s2,0.38280243;0.36224806;0.29556498,bypass and flow path;bypass and flow path;thermal core,inspect bypass flow and related instrumentation;inspect bypass duct pressure behavior;inspect temperature instrumentation and hot-section condition
rul,8249,81,10.0,12.758360862731934,1.0,0.9728225469589233,s12;s2;s11,0.37854248;0.33022162;0.31514150,bypass and flow path;thermal core;bypass and flow path,inspect bypass flow and related instrumentation;inspect temperature instrumentation and hot-section condition;inspect bypass duct pressure behavior
rul,3277,34,11.0,11.599331855773926,1.0,0.9703382253646851,s12;s11;s13,0.27522570;0.25476915;0.22603481,bypass and flow path;bypass and flow path;spool speed control,inspect bypass flow and related instrumentation;inspect bypass duct pressure behavior;inspect speed-control response and operating point
rul,3449,35,12.0,13.884373664855957,1.0,0.9686446785926819,s12;s2;s11,0.41558707;0.37517115;0.34843686,bypass and flow path;thermal core;bypass and flow path,inspect bypass flow and related instrumentation;inspect temperature instrumentation and hot-section condition;inspect bypass duct pressure behavior
rul,7710,76,15.0,16.621206283569336,1.0,0.9655570387840271,s9;s11;s12,0.23442988;0.20584312;0.20015459,high-pressure spool;bypass and flow path;bypass and flow path,inspect high-pressure spool dynamics;inspect bypass duct pressure behavior;inspect bypass flow and related instrumentation
rul,6996,68,12.0,13.716076850891113,1.0,0.9649977684020996,s11;s12;s2,0.41039065;0.40955797;0.30174264,bypass and flow path;bypass and flow path;thermal core,inspect bypass duct pressure behavior;inspect bypass flow and related instrumentation;inspect temperature instrumentation and hot-section condition
rul,8384,82,9.0,12.38408374786377,1.0,0.9638579487800598,s12;s11;s13,0.30340889;0.29460683;0.22213444,bypass and flow path;bypass and flow path;spool speed control,inspect bypass flow and related instrumentation;inspect bypass duct pressure behavior;inspect speed-control response and operating point
rul,8248,81,11.0,14.587285041809082,1.0,0.96195387840271,s12;s2;s11,0.43857843;0.38513249;0.36189929,bypass and flow path;thermal core;bypass and flow path,inspect bypass flow and related instrumentation;inspect temperature instrumentation and hot-section condition;inspect bypass duct pressure behavior
rul,6800,66,14.0,18.520143508911133,1.0,0.9614156484603882,s9;s14;s2,0.26464844;0.16745622;0.15234223,high-pressure spool;spool speed control;thermal core,inspect high-pressure spool dynamics;inspect core-speed response and controller behavior;inspect temperature instrumentation and hot-section condition
rul,10195,100,20.0,20.281898498535156,1.0,0.9611672163009644,s9;s14;s2,0.42243740;0.30174941;0.07508578,high-pressure spool;spool speed control;thermal core,inspect high-pressure spool dynamics;inspect core-speed response and controller behavior;inspect temperature instrumentation and hot-section condition
rul,2966,31,12.0,15.30700397491455,1.0,0.9609894752502441,s12;s11;s2,0.36457291;0.33540601;0.30981392,bypass and flow path;bypass and flow path;thermal core,inspect bypass flow and related instrumentation;inspect bypass duct pressure behavior;inspect temperature instrumentation and hot-section condition
rul,5581,56,15.0,12.779342651367188,1.0,0.9603613018989563,s12;s13;s2,0.33832958;0.24323322;0.23225991,bypass and flow path;spool speed control;thermal core,inspect bypass flow and related instrumentation;inspect speed-control response and operating point;inspect temperature instrumentation and hot-section condition
rul,5580,56,16.0,13.07516098022461,1.0,0.9600270390510559,s12;s13;s2,0.33257049;0.25133184;0.23651670,bypass and flow path;spool speed control;thermal core,inspect bypass flow and related instrumentation;inspect speed-control response and operating point;inspect temperature instrumentation and hot-section condition
rul,5579,56,17.0,13.391032218933105,1.0,0.9594386219978333,s12;s13;s2,0.33087939;0.24975072;0.24446338,bypass and flow path;spool speed control;thermal core,inspect bypass flow and related instrumentation;inspect speed-control response and operating point;inspect temperature instrumentation and hot-section condition
rul,3276,34,12.0,13.87397289276123,1.0,0.957876443862915,s11;s12;s13,0.32896763;0.32774973;0.29747579,bypass and flow path;bypass and flow path;spool speed control,inspect bypass duct pressure behavior;inspect bypass flow and related instrumentation;inspect speed-control response and operating point
rul,7709,76,16.0,17.65012550354004,1.0,0.9576016664505005,s9;s12;s11,0.26245350;0.21436585;0.21239564,high-pressure spool;bypass and flow path;bypass and flow path,inspect high-pressure spool dynamics;inspect bypass flow and related instrumentation;inspect bypass duct pressure behavior
rul,3448,35,13.0,15.643430709838867,1.0,0.9553596377372742,s12;s2;s11,0.47966185;0.40962589;0.35055116,bypass and flow path;thermal core;bypass and flow path,inspect bypass flow and related instrumentation;inspect temperature instrumentation and hot-section condition;inspect bypass duct pressure behavior
rul,6799,66,15.0,19.363712310791016,1.0,0.9549329876899719,s9;s14;s2,0.29626688;0.19040801;0.15784214,high-pressure spool;spool speed control;thermal core,inspect high-pressure spool dynamics;inspect core-speed response and controller behavior;inspect temperature instrumentation and hot-section condition
rul,8383,82,10.0,13.45323657989502,1.0,0.9545179009437561,s12;s11;s13,0.35933304;0.34486797;0.24874374,bypass and flow path;bypass and flow path;spool speed control,inspect bypass flow and related instrumentation;inspect bypass duct pressure behavior;inspect speed-control response and operating point
rul,8247,81,12.0,15.663476943969727,1.0,0.9539735317230225,s12;s2;s11,0.47731891;0.42235929;0.39462134,bypass and flow path;thermal core;bypass and flow path,inspect bypass flow and related instrumentation;inspect temperature instrumentation and hot-section condition;inspect bypass duct pressure behavior
rul,6995,68,13.0,15.299605369567871,1.0,0.9522265195846558,s12;s11;s2,0.43487111;0.42220929;0.28487727,bypass and flow path;bypass and flow path;thermal core,inspect bypass flow and related instrumentation;inspect bypass duct pressure behavior;inspect temperature instrumentation and hot-section condition
